kicid,numax,numaxerr,dnu,dnuerr,epsilon,teff,tefferr
9367639,3.240,0.200,0.618,0.026,0.786,4059,142
6153390,3.357,0.417,0.607,0.027,0.583,3921,137
3339055,3.366,0.337,0.651,0.030,0.504,3925,80
9230478,3.673,0.233,0.635,0.048,0.881,4151,129
9594437,3.720,0.244,0.658,0.032,0.616,4202,124
6207642,3.728,0.263,0.665,0.021,0.734,4078,142
8054042,4.098,0.185,0.742,0.037,0.621,4053,141
4349743,4.153,0.277,0.732,0.046,0.634,3930,137
3634981,4.357,0.211,0.756,0.032,0.747,4166,123
1866235,4.381,0.216,0.812,0.039,0.677,4077,142
2011870,4.389,0.300,0.755,0.044,0.726,4023,80
5371676,4.389,0.272,0.708,0.011,0.817,4089,100
9521501,4.397,0.206,0.776,0.047,0.707,3928,137
8041612,4.405,0.308,0.754,0.063,0.708,4066,80
6342380,4.424,0.282,0.789,0.011,0.766,4209,147
7109084,4.448,0.212,0.793,0.025,0.512,3985,80
8543727,4.475,0.224,0.827,0.034,0.564,4149,100
7285602,4.523,0.303,0.730,0.041,0.652,4228,125
3103320,4.531,0.314,0.786,0.028,0.611,4039,80
10212921,4.586,0.232,0.796,0.065,0.628,4217,147
5990694,4.704,0.203,0.850,0.060,0.575,4172,146
5192452,4.798,0.300,0.850,0.037,0.810,4135,144
5113061,4.806,0.485,0.840,0.031,0.544,4161,100
6358570,4.830,0.307,0.842,0.049,0.607,4301,100
7983752,4.979,0.271,0.843,0.042,0.555,4211,126
4934347,5.011,0.286,0.846,0.028,0.554,4072,114
4060341,5.025,0.292,0.875,0.048,0.573,4250,148
9573389,5.045,0.654,0.812,0.135,0.839,4088,80
9957331,5.066,0.243,0.764,0.039,0.707,4367,152
10590779,5.066,0.226,0.801,0.038,0.756,4070,81
10164508,5.152,0.288,0.813,0.068,0.737,4137,144
6231440,5.223,0.317,0.909,0.043,0.756,4264,149
6708053,5.357,0.297,0.815,0.054,0.785,4003,140
10548114,5.357,0.258,0.873,0.041,0.579,4062,142
6761256,5.451,0.258,0.864,0.058,0.652,4231,80
3859198,5.509,0.226,0.947,0.060,0.750,4103,80
3936736,5.514,0.301,0.895,0.047,0.620,4035,80
7045660,5.604,0.301,0.844,0.033,0.759,4147,145
1576043,5.625,0.258,0.927,0.040,0.654,4133,80
7345435,5.664,0.223,0.845,0.040,0.730,4150,83
4060347,5.678,0.338,0.849,0.076,0.775,3838,130
5435689,5.680,0.320,0.923,0.057,0.760,4145,128
5630244,5.743,0.271,0.878,0.023,0.929,4203,147
7694280,5.754,0.318,0.875,0.053,1.037,4292,150
11766491,5.766,0.388,0.860,0.048,0.812,3880,80
5456612,5.782,0.229,0.945,0.043,0.774,4182,100
3441157,5.790,0.324,0.918,0.038,0.834,3920,80
11517707,5.877,0.242,0.943,0.026,0.916,4281,149
8976283,5.900,0.216,0.962,0.050,0.644,4381,80
8121799,5.930,0.385,0.918,0.031,0.701,4224,147
9100325,6.113,0.298,0.969,0.040,0.651,4239,100
6230950,6.126,0.286,0.968,0.043,0.714,4196,146
5725087,6.128,0.222,1.030,0.035,0.542,4448,155
8546146,6.136,0.311,0.979,0.044,0.624,4055,80
10093888,6.166,0.285,1.045,0.055,0.684,4223,147
9903290,6.199,0.244,0.941,0.044,0.653,4285,100
6025983,6.203,0.262,1.045,0.079,0.788,4188,146
8689478,6.239,0.279,1.006,0.052,0.660,4399,153
10089758,6.317,0.175,1.026,0.036,0.728,4298,100
3836105,6.420,0.248,0.979,0.034,0.723,4218,80
11623314,6.451,0.281,1.042,0.062,0.715,4258,80
4380775,6.451,0.245,1.084,0.066,0.746,4199,80
4478473,6.506,0.345,1.029,0.062,0.770,4219,147
2991043,6.530,0.320,1.046,0.025,0.783,4359,152
9595645,6.546,0.355,0.931,0.034,0.711,4294,150
7040855,6.577,0.201,1.141,0.030,0.504,4351,152
7834623,6.593,0.238,1.065,0.032,0.659,4340,151
5272829,6.679,0.291,1.060,0.043,0.677,4085,80
6676993,6.711,0.294,0.990,0.036,0.712,4080,81
9344639,6.719,0.278,1.116,0.030,0.503,4316,100
6632774,6.774,0.266,1.020,0.062,0.899,4222,147
1027110,6.829,0.217,1.145,0.020,0.692,4190,80
3233863,6.837,0.460,1.047,0.054,0.564,4358,152
5547747,6.853,0.213,1.056,0.037,0.679,4141,144
5819258,6.931,0.254,1.023,0.050,0.772,4304,150
7221001,7.089,0.348,0.970,0.036,0.799,4030,80
10328921,7.105,0.301,1.222,0.063,0.516,4248,80
9430843,7.142,0.279,1.099,0.023,0.851,4160,145
8816353,7.144,0.273,1.209,0.065,0.600,4332,151
2010137,7.152,0.361,1.074,0.049,0.789,4114,80
2846051,7.199,0.223,1.104,0.024,0.586,4310,80
12007085,7.246,0.322,1.145,0.047,0.576,4213,125
9763564,7.253,0.550,1.378,0.109,0.635,4377,80
4661768,7.262,0.278,1.053,0.067,0.867,4144,80
10139791,7.270,0.301,1.105,0.034,0.731,4296,150
7552325,7.356,0.305,1.051,0.038,0.617,4128,144
5458219,7.364,0.291,1.250,0.077,0.730,4303,80
9509251,7.364,0.215,1.203,0.046,0.666,4251,148
9363969,7.372,0.228,1.119,0.030,0.859,4365,80
5688727,7.419,0.206,1.119,0.030,1.010,4200,124
8387412,7.451,0.332,1.081,0.027,0.855,4181,80
11775000,7.466,0.281,1.114,0.027,0.797,4293,150
9349037,7.506,0.281,1.228,0.041,0.552,4352,152
10068014,7.535,0.335,1.235,0.068,0.853,4161,145
3121983,7.538,0.260,1.271,0.029,0.589,3970,80
2713304,7.603,0.304,1.158,0.053,0.749,3989,50
4039831,7.624,0.255,1.117,0.041,0.732,4226,100
4078174,7.640,0.269,1.183,0.049,0.633,4228,148
9786779,7.652,0.287,1.218,0.062,0.605,4385,137
10295060,7.671,0.373,1.194,0.054,0.805,4258,100
8231947,7.679,0.317,1.157,0.063,0.723,4258,80
11018454,7.687,0.250,1.130,0.047,1.088,4322,151
4571962,7.726,0.380,1.128,0.052,0.779,4358,100
10992390,7.780,0.310,1.201,0.066,0.669,4218,100
8984255,7.803,0.379,1.126,0.050,0.796,4153,145
9666718,7.852,0.256,1.238,0.026,0.765,4338,100
4371562,7.860,0.264,1.177,0.061,0.850,4149,80
892738,7.915,0.249,1.266,0.052,0.714,4534,135
9415248,7.931,0.283,1.137,0.046,0.650,4200,80
4252080,7.943,0.297,1.200,0.033,0.723,4106,80
6308068,7.947,0.402,1.162,0.047,0.631,4249,80
6549467,7.970,0.438,1.191,0.050,0.710,4315,80
2284278,7.978,0.287,1.187,0.049,0.683,4248,148
9351815,7.999,0.461,1.300,0.078,0.604,4285,149
1719297,8.025,0.394,1.244,0.044,0.534,4318,100
4908025,8.041,0.295,1.245,0.027,0.716,4110,100
5801629,8.049,0.240,1.179,0.047,0.690,4358,152
11045542,8.096,0.283,1.302,0.042,0.592,4450,100
4060807,8.104,0.341,1.249,0.047,0.751,4307,80
5553963,8.143,0.320,1.157,0.042,0.654,4254,80
4069447,8.159,0.240,1.231,0.046,0.841,4326,100
3935651,8.234,0.390,1.271,0.038,0.683,4364,80
6448431,8.276,0.367,1.278,0.064,0.748,4232,148
11854835,8.285,0.227,1.269,0.052,0.802,4330,80
5623794,8.296,0.236,1.267,0.054,0.895,4258,149
12600259,8.301,0.317,1.355,0.044,0.614,4288,150
