kicid,lcs,nquarter,pextrema,teff,tefferr,amp,period,order,numax,numaxerr,dnu,dnuerr,parallax,parallaxerr,distance,distanceerr,luminosity,luminosityerr,av
892738,PDCSAP,18.0,,4534,135,308.24,1.44,6,7.47,0.25,1.31,0.01,0.4,0.02,2.49,0.137,193.96,21.69,0.29
893210,PDCSAP,17.0,,4204,127,1004.15,4.36,5,2.62,0.05,0.51,0.01,0.23,0.03,4.44,0.503,574.52,133.14,0.25
893233,PDCSAP,8.0,,4207,147,903.45,1.94,5,6.16,0.08,1.18,0.01,0.43,0.03,2.338,0.151,227.36,29.88,0.28
1026309,PDCSAP,18.0,,4514,80,97.86,0.77,6,16.09,0.91,1.92,0.02,0.67,0.02,1.502,0.048,178.02,12.19,0.28
1026895,PDCSAP,18.0,,3900,80,714.65,3.88,5,2.78,0.11,0.54,0.0,0.83,0.02,1.214,0.036,445.5,27.16,0.24
1027110,PDCSAP,18.0,,4190,80,466.93,1.62,6,6.67,0.14,1.15,0.01,0.33,0.02,3.019,0.194,187.73,24.44,0.24
1027707,PDCSAP,18.0,,4254,148,872.85,3.87,4,3.03,0.04,0.54,0.01,0.17,0.03,5.739,0.841,654.15,198.06,0.23
1160655,PDCSAP,18.0,,3740,130,1715.1,7.28,4,1.63,0.02,0.37,0.01,0.38,0.03,2.631,0.181,253.08,36.65,0.61
1160867,PDCSAP,18.0,,4000,80,550.43,2.56,4,4.68,0.08,0.89,0.01,1.12,0.03,0.893,0.022,240.36,12.64,0.7
1160986,PDCSAP,4.0,,4347,80,193.4,0.99,7,8.85,0.62,1.54,0.02,0.21,0.02,4.688,0.334,134.51,19.42,0.71
1161965,SAP,4.0,8.3,3665,80,15523.55,16.33,,,,,,,,,,,,
1162036,PDCSAP,4.0,,4609,137,283.11,1.45,,6.16,0.93,1.02,0.12,0.34,0.02,2.954,0.201,288.5,39.88,0.25
1162220,PDCSAP,18.0,,4218,80,301.45,1.09,6,10.86,0.21,1.68,0.01,0.63,0.02,1.601,0.061,110.14,8.64,0.25
1163114,PDCSAP,17.0,,4311,80,198.68,0.8,6,13.85,0.28,1.9,0.01,0.35,0.02,2.866,0.198,95.53,13.41,0.29
1292834,PDCSAP,18.0,,4069,142,789.17,3.84,4,3.18,0.12,0.57,0.01,0.24,0.02,4.128,0.345,227.14,38.58,0.92
1293521,PDCSAP,18.0,,4010,140,907.64,2.48,5,4.62,0.07,0.82,0.01,0.31,0.03,3.306,0.285,204.91,37.16,0.37
1293835,SAP,18.0,9.58,3675,128,9094.32,22.01,3,,,,,0.12,0.03,7.768,1.429,766.01,293.84,0.29
1296110,PDCSAP,18.0,,3941,137,1141.54,4.2,4,2.64,0.04,0.56,0.02,0.11,0.03,7.86,1.582,775.13,327.12,0.25
1297510,SAP,4.0,6.65,4090,143,2255.97,6.54,,,,,,0.57,0.03,1.767,0.084,616.15,60.01,0.24
1430199,PDCSAP,17.0,,3753,131,5903.51,14.54,4,0.82,0.02,0.22,0.0,0.24,0.03,4.204,0.518,595.06,150.48,0.52
1430207,PDCSAP,17.0,,3863,135,1472.6,4.81,,2.34,0.05,0.47,0.01,0.47,0.03,2.131,0.132,508.47,64.14,0.51
1431599,PDCSAP,18.0,,4013,80,1074.95,4.28,5,2.3,0.04,0.53,0.0,0.16,0.02,6.254,0.845,771.75,214.39,0.28
1432587,PDCSAP,18.0,,4443,100,444.5,2.31,4,5.33,0.15,1.07,0.01,0.44,0.02,2.289,0.125,180.49,20.08,0.3
1433477,SAP,16.0,11.67,3775,132,6487.13,15.76,3,0.99,0.22,0.21,0.02,0.11,0.02,8.426,1.406,611.0,211.65,0.25
1434591,SAP,18.0,18.2,3674,80,18380.25,26.54,3,,,,,0.34,0.08,3.197,0.83,1254.19,707.25,0.34
1569822,SAP,18.0,30.19,3586,115,27534.52,47.74,2,,,,,0.42,0.05,2.457,0.329,726.54,200.6,0.29
1573867,SAP,18.0,20.33,3641,122,31326.05,31.42,3,,,,,0.56,0.04,1.817,0.136,1264.14,193.39,0.24
1576043,PDCSAP,18.0,,4133,80,464.5,1.99,6,5.43,0.18,0.93,0.01,0.27,0.03,3.783,0.383,243.19,50.22,0.29
1701679,SAP,18.0,14.08,3520,123,7999.51,25.01,3,0.48,0.01,0.12,0.01,0.08,0.03,9.873,1.897,2267.25,907.8,0.25
1717384,PDCSAP,18.0,,3966,138,759.78,5.48,,2.22,0.09,0.43,0.01,0.46,0.03,2.186,0.135,699.93,89.66,0.41
1718046,PDCSAP,5.0,,4574,136,217.74,1.1,,7.81,0.17,1.66,0.01,0.72,0.04,1.397,0.075,163.63,18.0,0.41
1719297,PDCSAP,18.0,,4318,100,298.79,1.52,6,7.3,0.36,1.19,0.04,0.42,0.03,2.414,0.158,212.27,28.23,0.45
1725552,PDCSAP,18.0,,4234,100,243.06,1.66,4,8.27,0.5,1.22,0.01,0.54,0.02,1.869,0.071,209.86,16.51,0.29
1725732,PDCSAP,18.0,,4100,80,734.21,3.91,4,3.1,0.05,0.68,0.03,0.35,0.02,2.894,0.205,284.5,41.0,0.38
1864258,SAP,18.0,15.32,3799,121,23847.61,64.49,,,,,,0.11,0.03,8.316,1.559,1476.23,577.49,0.38
1865595,PDCSAP,17.0,,4386,80,202.27,0.87,7,12.43,0.15,1.82,0.01,0.58,0.03,1.742,0.082,105.86,10.13,0.35
1865744,PDCSAP,16.0,,4187,146,356.58,1.32,6,8.99,0.2,1.38,0.01,0.19,0.02,5.183,0.466,134.45,24.56,0.43
1866235,PDCSAP,18.0,,4077,142,419.77,2.28,6,4.04,0.13,0.81,0.02,0.43,0.03,2.337,0.144,241.12,30.84,0.41
1866366,SAP,18.0,11.84,3617,126,3752.98,18.76,,,,,,0.57,0.03,1.762,0.082,751.06,71.79,0.37
1867078,PDCSAP,18.0,,3953,138,1603.69,4.58,,2.46,0.09,0.47,0.01,0.37,0.03,2.769,0.247,418.7,75.96,0.54
1870385,SAP,18.0,9.78,3712,129,3080.05,13.39,3,0.84,0.03,0.23,0.01,0.13,0.04,6.83,1.445,667.07,297.94,0.34
1996408,PDCSAP,17.0,,4032,141,838.82,4.71,4,2.68,0.18,0.53,0.01,0.12,0.02,7.654,1.146,400.21,123.77,0.29
